Text 1	Text 2	Text 3	Sound 3	Picture 3	Text 4	Sound 4	Category 1	Text 6	Text 5	Extra Info
李|lǐ|0	<size 1.7><center>李</center></size>	<center><font size=6>lǐ|[patronyme, le 4e plus fréquent en Chine]</font></center>	4178d476cf67f204b9c7ed0aa9697179.m4a				0		李	<font size=12>李</font> (lǐ)|
次|cì|0	<size 1.7><center>次</center></size>	<center><font size=6>cì|(une) fois</font></center>	e6c4ffbfd6bf589f321b7e05f84c6032.m4a				0		次	<font size=12>次</font> (cì)|
火|huǒ|0	<size 1.7><center>火</center></size>	<center><font size=6>huǒ|feu, (clé 86)</font></center>	c391a9ac27b18cc325eaa64abae63186.m4a				0		火	<font size=12>火</font> (huǒ)|
爱|aì|0	<size 1.7><center>爱</center></size>	<font size=5>aì|aimer (d'amour) (angl. love)</font>|<font size=4><i>« &#74;&#101; &#116;'&#97;&#105;&#109;&#101; (&#100;'&#97;&#109;&#111;&#117;&#114;). »</i></font>	65b89875adcf5291330ae5772ced6a52.m4a		|<font size=9>&#25105;<color yellow>&#29233;</color>&#20320;。</font>	0a9b193984b5d5034adc305593bbf643.m4a	1		爱	<font size=12>爱</font> (aì)|
爸爸|bàba|0	<size 1.7><center>爸爸</center></size>	<center><font size=6>bàba|papa</font></center>	0aacfa8e0c411bd48d26428aed422e9a.m4a				0		爸爸	<font size=12>爸爸</font> (bàba)|Confusions possibles :|八 [bā] (clé 12)||
王|wáng|0	<size 1.7><center>王</center></size>	<center><font size=6>wáng|roi, [patronyme, le 2e plus fréquent en Chine]</font></center>	5bfaeb8d055b3ebe4b12e482efcf32a4.m4a				0		王	<font size=12>王</font> (wáng)|
睡觉|shuìjiào|0	<size 1.7><center>睡觉</center></size>	<font size=5>shuìjiào|dormir</font>|<font size=4><i>« &#74;&#101; &#118;&#101;&#117;&#120; &#100;&#111;&#114;&#109;&#105;&#114;. »</i></font>	4fd1d60d2d5db1c0609bc7a9e93d1035.m4a		|<font size=9>&#25105;&#35201;<color yellow>&#30561;&#35273;</color>。</font>	4fece86637e7bb80d137613c6176fb0c.m4a	1		睡觉	<font size=12>睡觉</font> (shuìjiào)||
秋|qiū|0	<size 1.7><center>秋</center></size>	<center><font size=6>qiū|automne</font></center>	62537f15671695dd1047d37ae6a69b5b.m4a				0		秋	<font size=12>秋</font> (qiū)|Mots associés :|中秋节 [zhōngqiūjié] fête de la l…
第|dì|0	<size 1.7><center>第</center></size>	<center><font size=6>dì|[préfixe ordinal]</font></center>	6706747ba5162fe7b9f347434e2b539c.m4a				0		第	<font size=12>第</font> (dì)|Formes proches :|弟 [dì] 弟弟、弟弟||Mots associés :|第二 [dìèr] deuxième|第一 [dìyī] premier
第一|dìyī|0	<size 1.7><center>第一</center></size>	<center><font size=6>dìyī|premier</font></center>	ce64b74736a3c72f5ef410b5367646aa.m4a				0		第一	<font size=12>第一</font> (dìyī)||Mots associés :|第二 [dìèr] deuxième|第　 [dì] [préfixe ordinal]|一　 [yī] un, (clé 1)
第二|dìèr|0	<size 1.7><center>第二</center></size>	<center><font size=6>dìèr|deuxième</font></center>	04738cd7dcab3018e285b3efed815acb.m4a				0		第二	<font size=12>第二</font> (dìèr)|Confusions possibles :|节 [jié] fête (calendaire)||Mots associés :|第一 [dìyī] premier|第　 [dì] [préfixe ordinal]|二　 [èr] deux ordinal (clé 7)
节|jié|0	<size 1.7><center>节</center></size>	<center><font size=6>jié|fête (calendaire)</font></center>	2d78f50331417b4daca11cc92858a79f.m4a				0		节	<font size=12>节</font> (jié)|Mots associés :|中秋节 [zhōngqiūjié] fête de la l…
西|xī|0	<size 1.7><center>西</center></size>	<center><font size=6>xī|ouest</font></center>	fd2fd60c82b32946cd132fb73ef663f8.m4a				0		西	<font size=12>西</font> (xī)|
要|yào|0	<size 1.7><center>要</center></size>	<font size=5>yào|vouloir, devoir, [marque du futur]</font>|<font size=4><i>« &#74;&#101; &#118;&#101;&#117;&#120; &#117;&#110; &#103;&#226;&#116;&#101;&#97;&#117; &#100;&#101; &#108;&#117;&#110;&#101;. »</i></font>	7214a85f7df1efa62b7e712f7b814a22.m4a		|<font size=9>&#25105;<color yellow>&#35201;</color>&#26376;&#39292;。</font>	d165d9c85e49ba8aae693f79d1d1d8e3.m4a	1		要	<font size=12>要</font> (yào)|
请|qǐng|0	<size 1.7><center>请</center></size>	<font size=5>qǐng|veuillez, inviter, prier</font>|<font size=4><i>« &#86;&#101;&#117;&#105;&#108;&#108;&#101;&#122; &#109;&#97;&#110;&#103;&#101;&#114; &#117;&#110; &#103;&#226;&#116;&#101;&#97;&#117; &#100;&#101; &#108;&#117;&#110;&#101;. »</i></font>	156d855d46d259b07b27e2ede2955c82.m4a		|<font size=9><color yellow>&#35831;</color>&#20320;&#21507;&#26376;&#39292;。</font>	17c361cfddeb0ef373f0130e2658a38b.m4a	1		请	<font size=12>请</font> (qǐng)|
课|kè|0	<size 1.7><center>课</center></size>	<center><font size=6>kè|cours, leçon</font></center>	b5c7a50fb9a7e1f6862d56935b5fbaa0.m4a				0		课	<font size=12>课</font> (kè)|
谢谢|xièxie|0	<size 1.7><center>谢谢</center></size>	<font size=5>xièxie|merci</font>|<font size=4><i>« &#77;&#101;&#114;&#99;&#105; &#224; &#116;&#111;&#105;! »</i></font>	edfd77f9b07517c850c978976d58bf24.m4a		|<font size=9><color yellow>&#35874;&#35874;</color>&#20320;！</font>	6edd74bfd337edc60990388217091cd2.m4a	1		谢谢	<font size=12>谢谢</font> (xièxie)||
酷|kù|0	<size 1.7><center>酷</center></size>	<center><font size=6>kù|cool (transcription)</font></center>	1ffcbef7cd763b310e2904f567ac14eb.m4a				0		酷	<font size=12>酷</font> (kù)|
马|mǎ|0	<size 1.7><center>马</center></size>	<font size=5>mǎ|cheval</font>|<font size=4><i>« &#77;&#97;&#109;&#97;&#110; &#109;&#111;&#110;&#116;&#101; &#224; &#99;&#104;&#101;&#118;&#97;&#108;, &#108;&#101; &#99;&#104;&#101;&#118;&#97;&#108; &#101;&#115;&#116; &#108;&#101;&#110;&#116;, &#109;&#97;&#109;&#97;&#110; &#105;&#110;&#115;&#117;&#108;&#116;&#101; &#108;&#101; &#99;&#104;&#101;&#118;&#97;&#108;. »</i></font>	fd027368b966bab4263f367762d20cb8.m4a		|<font size=9>&#22920;&#22920;&#39569;<color yellow>&#39532;</color>，<color yellow>&#39532;</color>&#24930;，&#22920;&#22920;&#39554;<color yellow>&#39532;</color>。</font>	4ed9d2e34f86e0b3d223a937d0c8a546.m4a	1		马	<font size=12>马</font> (mǎ)|
骂|mà|0	<size 1.7><center>骂</center></size>	<font size=5>mà|insulter</font>|<font size=4><i>« &#77;&#97;&#109;&#97;&#110; &#109;&#111;&#110;&#116;&#101; &#224; &#99;&#104;&#101;&#118;&#97;&#108;, &#108;&#101; &#99;&#104;&#101;&#118;&#97;&#108; &#101;&#115;&#116; &#108;&#101;&#110;&#116;, &#109;&#97;&#109;&#97;&#110; &#105;&#110;&#115;&#117;&#108;&#116;&#101; &#108;&#101; &#99;&#104;&#101;&#118;&#97;&#108;. »</i></font>	9aa531470fce6903a6c6f4a3751c6205.m4a		|<font size=9>&#22920;&#22920;&#39569;&#39532;，&#39532;&#24930;，&#22920;&#22920;<color yellow>&#39554;</color>&#39532;。</font>	4ed9d2e34f86e0b3d223a937d0c8a546.m4a	1		骂	<font size=12>骂</font> (mà)|Mots associés :|骂人 [màrén] insulter les gens
骂人|màrén|0	<size 1.7><center>骂人</center></size>	<center><font size=6>màrén|insulter les gens</font></center>	6d937c53c939c1404fb9c82ea585be02.m4a				0		骂人	<font size=12>骂人</font> (màrén)||Mots associés :|骂 [mà] insulter|人 [rén] une personne, (clé 9)
鱼|yú|0	<size 1.7><center>鱼</center></size>	<center><font size=6>yú|poisson</font></center>	3c1a51ae3914e799573a222656092adb.m4a				0		鱼	<font size=12>鱼</font> (yú)|
鸡|jī|0	<size 1.7><center>鸡</center></size>	<center><font size=6>jī|poulet</font></center>	eb3847a085c41f8c8f4955b3d0ac7cdd.m4a				0		鸡	<font size=12>鸡</font> (jī)|Mots associés :|小鸡 [xiǎojī] poussin…
